upm;nvivi;nhoga;dpto;area;año;e01aimde;e01bimde;e01cimde;e01dde;e01ede;e01fde;e02tde;e01hide;e01ide;e01jde;e01kjde;e01hde;e01kde;e01lde;v19ede;ingrevasode;ingrealmuerzode;v21gde;totpers;ingrem;ipcm;linpobto;linpobex;pobrezai;pobnopoi;fex.2022;facpob;p0pobtot;p1pobtot;p2pobtot;p0pobext;p1pobext;p2pobext;ipcmdefg;quintili;decili;quintiai;decilai
14;3;1;0;1;2023;8984293,60694554;0;0;0;0;0;0;0;0;0;0;0;0;0;1211365,43014996;0;0;0;5;10195659,0370955;2039131,8074191;853778;359480;3;0;87,249706576;436,24853288;0; ;0;0; ;0;2039131,8074191;4;8;4;7
14;20;1;0;1;2023;7470086,81925809;0;0;0;0;0;0;0;0;0;0;0;0;0;1211365,43014996;0;0;0;2;8681452,24940805;4340726,12470403;853778;359480;3;0;94,529765533;189,059531066;0; ;0;0; ;0;4340726,12470403;5;10;5;10
14;23;1;0;1;2023;8580505,13022889;0;0;0;0;0;0;0;0;0;0;0;0;0;1514206,78768745;0;0;0;2;10094711,9179163;5047355,95895817;853778;359480;3;0;81,080183901;162,160367802;0; ;0;0; ;0;5047355,95895817;5;10;5;10
14;24;1;0;1;2023;11911760,0631413;0;0;0;0;0;0;0;0;0;0;0;0;0;1716101,02604578;0;0;0;10;13627861,0891871;1362786,10891871;853778;359480;3;0;83,395463171;833,95463171;0; ;0;0; ;0;1362786,10891871;3;5;3;5
14;25;1;0;1;2023;2523677,97947909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2523677,97947909;2523677,97947909;853778;359480;3;0;103,307920766;103,307920766;0; ;0;0; ;0;2523677,97947909;4;8;4;8
14;31;1;0;1;2023;4845461,72059984;0;0;0;0;0;0;0;0;0;0;0;605682,71507498;0;0;0;0;0;3;5451144,43567482;1817048,14522494;853778;359480;3;0;68,089327106;204,267981318;0; ;0;0; ;0;1817048,14522494;4;7;3;6
14;37;1;0;1;2023;4037884,76716654;0;0;1917995,2644041;0;0;0;1615153,90686661;0;0;0;0;0;0;2018942,38358327;0;0;1211365,43014996;2;9489029,20284136;4744514,60142068;853778;359480;3;0;91,354392344;182,708784688;0; ;0;0; ;0;4744514,60142068;5;10;5;10
14;39;1;0;1;2023;5152340,9629045;0;0;0;0;0;0;0;575398,579321231;0;0;0;0;0;0;0;0;0;6;5727739,54222573;954623,257037622;853778;359480;3;0;99,639601667;597,837610002;0; ;0;0; ;0;954623,257037622;2;4;2;3
14;40;1;0;1;2023;5909516,17177721;0;0;0;0;0;0;0;0;0;0;0;0;0;1009471,19179163;0;0;0;6;6918987,36356884;1153164,56059481;853778;359480;3;0;88,158170674;528,949024044;0; ;0;0; ;0;1153164,56059481;3;5;2;4
14;49;1;0;1;2023;1211365,43014996;1009471,19179163;807576,953433307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3028413,5753749;3028413,5753749;853778;359480;3;0;71,076806491;71,076806491;0; ;0;0; ;0;3028413,5753749;5;9;5;9
14;54;1;0;1;2023;3187717,41558682;0;0;0;0;0;0;0;0;0;0;0;0;0;1826841,58745521;0;0;0;2;5014559,00304204;2507279,50152102;853778;359480;3;0;76,190487514;152,380975028;0; ;0;0; ;0;2507279,50152102;4;8;4;8
14;59;1;0;1;2023;13033130,2123791;0;0;0;0;0;0;3028413,5753749;0;0;0;0;0;0;0;0;0;0;8;16061543,787754;2007692,97346925;853778;359480;3;0;72,304670244;578,437361952;0; ;0;0; ;0;2007692,97346925;4;7;4;7
30;1;1;0;1;2023;4729738,0585516;0;0;394144,838212634;0;0;0;0;0;0;0;0;0;0;1478043,14329738;0;0;1256505,55225104;5;6497217,24404069;1299443,44880814;853778;359480;3;0;125,364798873;626,823994365;0; ;0;0; ;0;1299443,44880814;3;5;2;4
30;16;1;0;1;2023;945947,611710321;0;0;0;0;394144,838212634;0;1857407,55007704;0;0;0;0;0;0;492681,047765792;0;0;0;1;3690181,04776578;3690181,04776578;853778;359480;3;0;116,193015774;116,193015774;0; ;0;0; ;0;3690181,04776578;5;10;5;9
30;23;1;0;1;2023;7193143,29738056;0;0;0;0;0;0;0;0;0;0;0;0;0;2463405,23882896;0;0;2956086,28659475;4;9410208,01232663;2352552,00308166;853778;359480;3;0;120,011551833;480,046207332;0; ;0;0; ;0;2352552,00308166;4;8;4;8
30;24;1;0;1;2023;2960761,08923636;0;0;0;0;0;0;0;0;0;0;0;0;0;1357021,59331053;0;0;0;3;4317782,68254689;1439260,8941823;853778;359480;3;0;116,669136968;350,007410904;0; ;0;0; ;0;1439260,8941823;3;6;3;5
30;31;1;0;1;2023;6897534,66872109;492681,047765792;0;0;0;0;0;0;0;0;0;0;0;0;1478043,14329738;0;0;0;3;8868258,85978426;2956086,28659475;853778;359480;3;0;119,95643085;359,86929255;0; ;0;0; ;0;2956086,28659475;5;9;5;9
30;37;1;0;1;2023;0;0;0;0;0;0;0;0;0;0;0;0;1182434,5146379;0;591217,257318951;0;0;0;3;1773651,77195685;591217,257318951;853778;359480;2;1;108,721713863;326,165141589;1;,307528119348413;,0945735441899718;0; ;0;591217,257318951;1;2;1;1
44;7;1;0;1;2023;1500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1500000;1500000;853778;359480;3;0;85,534142841;85,534142841;0; ;0;0; ;0;1500000;3;6;3;5
44;8;1;0;1;2023;2300000;0;0;0;0;0;0;0;0;0;0;0;600000;0;0;0;0;0;2;2900000;1450000;853778;359480;3;0;76,121919931;152,243839862;0; ;0;0; ;0;1450000;3;6;3;5
44;16;1;0;1;2023;11740767,2255608;7605000;4400000;1500000;0;0;0;6000000;0;0;0;0;0;0;1000000;0;0;2500000;5;32037433,8922274;6407486,77844548;853778;359480;3;0;87,498174186;437,49087093;0; ;0;0; ;0;6407486,77844548;5;10;5;10
44;17;1;0;1;2023;6000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180024;760839;0;5;6940863;1388172,6;853778;359480;3;0;102,062498569;510,312492845;0; ;0;0; ;0;1388172,6;3;6;3;5
44;28;1;0;1;2023;4500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4500000;1500000;853778;359480;3;0;109,629013939;328,887041817;0; ;0;0; ;0;1500000;3;6;3;5
44;35;1;0;1;2023;0;0;0;0;0;0;0;6000000;0;0;0;0;0;0;500000;0;0;0;1;6500000;6500000;853778;359480;3;0;77,496772939;77,496772939;0; ;0;0; ;0;6500000;5;10;5;10
44;36;1;0;1;2023;0;0;0;0;0;2400000;0;0;0;0;0;0;0;0;0;0;0;0;2;2400000;1200000;853778;359480;3;0;120,39180483;240,78360966;0; ;0;0; ;0;1200000;3;5;2;4
44;39;1;0;1;2023;0;0;0;0;0;4000000;0;0;0;0;0;0;0;0;0;0;0;0;2;4000000;2000000;853778;359480;3;0;108,615722029;217,231444058;0; ;0;0; ;0;2000000;4;7;4;7
44;45;1;0;1;2023;880000;0;0;0;0;1300000;0;0;0;0;0;0;0;0;0;0;0;0;2;2180000;1090000;853778;359480;3;0;110,748893143;221,497786286;0; ;0;0; ;0;1090000;2;4;2;3
44;50;1;0;1;2023;3444374,7830302;320000;0;0;0;0;0;0;0;0;0;0;0;0;1200000;240032;1014452;0;7;6218858,7830302;888408,397575742;853778;359480;3;0;101,151472183;708,060305281;0; ;0;0; ;0;888408,397575742;2;3;1;2
59;2;1;0;1;2023;2990646,92127825;0;0;0;0;0;0;0;0;0;0;0;0;0;1993764,6141855;0;0;2492205,76773188;3;4776727,7214861;1592242,5738287;853778;359480;3;0;62,833059055;188,499177165;0; ;0;0; ;0;1592242,5738287;3;6;3;5
59;6;1;0;1;2023;11204957,1317225;0;0;1196258,7685113;0;0;0;0;0;0;0;0;0;0;1495323,46063913;60008;0;631538,416864728;6;13903919,1594676;2317319,85991126;853778;359480;3;0;75,41417062;452,48502372;0; ;0;0; ;0;2317319,85991126;4;8;4;8
59;14;1;0;1;2023;2691582,22915043;0;0;0;0;1495323,46063913;0;4984411,53546376;0;0;0;0;0;0;3489088,07482463;0;0;5981293,84255651;2;12161964,1465316;6080982,07326578;853778;359480;3;0;66,790157387;133,580314774;0; ;0;0; ;0;6080982,07326578;5;10;5;10
59;15;1;0;1;2023;5482852,68901013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5482852,68901013;1370713,17225253;853778;359480;3;0;70,712964057;282,851856228;0; ;0;0; ;0;1370713,17225253;3;6;3;5
59;18;1;0;1;2023;2731457,52143414;0;0;0;0;0;431982,333073526;0;0;0;0;0;0;0;1495323,46063913;120016;507226;0;4;5286005,31514679;1321501,3287867;853778;359480;3;0;64,474185018;257,896740072;0; ;0;0; ;0;1321501,3287867;3;5;2;4
59;31;1;0;1;2023;3190023,3826968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3190023,3826968;3190023,3826968;853778;359480;3;0;70,691151765;70,691151765;0; ;0;0; ;0;3190023,3826968;5;9;5;9
59;37;1;0;1;2023;2761363,99064692;0;0;0;0;199376,46141855;0;0;0;0;0;0;1256071,70693687;0;0;0;0;0;3;4216812,15900234;1405604,05300078;853778;359480;3;0;58,07539521;174,22618563;0; ;0;0; ;0;1405604,05300078;3;6;3;5
59;42;1;0;1;2023;797505,845674201;0;0;0;0;0;0;0;0;0;0;0;0;0;1196258,7685113;60008;253613;0;4;2307385,6141855;576846,403546376;853778;359480;2;1;69,283438345;277,13375338;1;,324360192525018;,105209534494866;0; ;0;576846,403546376;1;2;1;1
59;47;1;0;1;2023;3688464,53624318;0;0;0;0;0;0;3190023,3826968;0;0;0;0;0;0;0;0;0;0;4;6878487,91893998;1719621,979735;853778;359480;3;0;69,633651793;278,534607172;0; ;0;0; ;0;1719621,979735;4;7;3;6
59;49;1;0;1;2023;7576305,53390491;0;0;0;0;0;0;0;0;0;0;0;0;0;797505,845674201;0;0;0;5;8373811,37957911;1674762,27591582;853778;359480;3;0;74,286575279;371,432876395;0; ;0;0; ;0;1674762,27591582;4;7;3;6
59;57;1;0;1;2023;12959469,9922058;0;0;0;0;0;0;0;0;0;0;0;0;0;1993764,6141855;0;0;1794388,15276695;7;14803702,2603274;2114814,60861819;853778;359480;3;0;69,862384446;489,036691122;0; ;0;0; ;0;2114814,60861819;4;8;4;7
74;4;1;0;1;2023;0;0;0;0;0;0;0;2480605,12024827;0;0;0;0;0;0;1488363,07214896;0;0;0;2;3968968,19239723;1984484,09619861;853778;359480;3;0;115,511813523;231,023627046;0; ;0;0; ;0;1984484,09619861;4;7;4;7
74;16;1;0;1;2023;13008423,1147078;0;0;0;0;0;0;0;0;0;0;0;0;0;2976726,14429792;0;0;3770519,78277736;3;15670939,2771076;5223646,42570254;853778;359480;3;0;96,418975303;289,256925909;0; ;0;0; ;0;5223646,42570254;5;10;5;10
74;29;1;0;1;2023;2480605,12024827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2480605,12024827;2480605,12024827;853778;359480;3;0;115,451380231;115,451380231;0; ;0;0; ;0;2480605,12024827;4;8;4;8
74;35;1;0;1;2023;10914662,5290924;1984484,09619861;0;0;0;0;0;1786035,68657875;496121,024049653;0;0;0;0;0;0;0;0;0;8;15181303,3359194;1897662,91698992;853778;359480;3;0;111,498256016;891,986048128;0; ;0;0; ;0;1897662,91698992;4;7;3;6
74;44;1;0;1;2023;1984484,09619861;0;0;0;0;0;0;25798293,250582;0;0;0;0;0;0;2480605,12024827;0;0;0;1;30263382,4670288;30263382,4670288;853778;359480;3;0;125,259840402;125,259840402;0; ;0;0; ;0;30263382,4670288;5;10;5;10
74;45;1;0;1;2023;595345,228859584;0;0;0;0;0;0;2976726,14429792;0;0;0;0;0;0;2480605,12024827;0;0;0;1;6052676,49340577;6052676,49340577;853778;359480;3;0;110,3303999;110,3303999;0; ;0;0; ;0;6052676,49340577;5;10;5;10
74;65;1;0;1;2023;7937936,38479445;1984484,09619861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9922420,48099306;9922420,48099306;853778;359480;3;0;96,950209542;96,950209542;0; ;0;0; ;0;9922420,48099306;5;10;5;10
89;1;1;0;1;2023;2791270,4598597;0;0;0;0;598129,384255651;0;0;0;0;0;0;598129,384255651;0;0;0;0;0;2;3987529,228371;1993764,6141855;853778;359480;3;0;88,967432133;177,934864266;0; ;0;0; ;0;1993764,6141855;4;7;4;7
89;5;1;0;1;2023;0;0;0;2990646,92127825;996882,307092751;0;0;0;0;0;0;0;0;0;2492205,76773188;0;0;1295946,99922058;2;6371739,4128345;3185869,70641725;853778;359480;3;0;79,657491449;159,314982898;0; ;0;0; ;0;3185869,70641725;5;9;5;9
89;10;1;0;1;2023;4984411,53546376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4984411,53546376;1246102,88386594;853778;359480;3;0;103,417536772;413,670147088;0; ;0;0; ;0;1246102,88386594;3;5;2;4
89;16;1;0;1;2023;4485970,38191738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4485970,38191738;4485970,38191738;853778;359480;3;0;108,306858184;108,306858184;0; ;0;0; ;0;4485970,38191738;5;10;5;10
89;24;1;0;1;2023;996882,307092751;0;0;0;0;0;0;11962587,685113;0;0;0;0;0;0;2492205,76773188;0;0;4884723,30475448;2;15044615,4845414;7522307,74227072;853778;359480;3;0;77,907261934;155,814523868;0; ;0;0; ;0;7522307,74227072;5;10;5;10
89;40;1;0;1;2023;15551363,9906469;0;0;1295946,99922058;0;0;0;0;0;0;0;0;0;0;1993764,6141855;0;0;2990646,92127825;3;18591855,0272798;6197285,00909327;853778;359480;3;0;75,407200484;226,221601452;0; ;0;0; ;0;6197285,00909327;5;10;5;10
89;50;1;0;1;2023;2492205,76773188;0;0;0;0;0;0;0;0;0;0;0;0;0;1993764,6141855;0;0;1196258,7685113;2;4386282,15120811;2193141,07560405;853778;359480;3;0;105,600758276;211,201516552;0; ;0;0; ;0;2193141,07560405;4;8;4;7
