UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FEX.2022;POBREZAI;POBNOPOI
14;3;1;2024;0;1;1;1;2;1;2;1;4;5;1;1;1;2;11;7;1;6;1;1;2;6;2;2;1;1; ;1000000; ;1;99999999999;6;6;1;1;6;1;1;1;1;6;1;6;6;1;6;1;6;1;6;1;2;63,514585485;3;0
14;15;1;2024;0;1;1;1;2;1;4;2;4;5;1;1;1;2;11;7;1;6;1;1;2;1;7;2;1;1; ;2000000; ;6; ;6;6;1;6;1;1;1;1;1;6;6;6;6;1;6;6;6;6;6;6;2;85,069972887;3;0
14;23;1;2024;0;1;1;1;2;1;6;4;4;5;1;1;1;2;11;7;1;6;1;1;2;1;2;2;1;1; ;2000000; ;6; ;1;1;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;1;1;6;2;75,376149458;3;0
14;26;1;2024;0;1;2;0;2;1;2;1;4;5;6;1;1;2;11;7;1;6;1;1;2;1;4;2;4; ;700000; ; ;6; ;6;6;1;1;6;6;1;1;6;1;1;6;6;1;6;6;1;6;1;6;4;76,862117893;3;0
14;33;1;2024;0;1;1;1;2;3;2;1;4;5;1;1;1;2;11;7;1;6;1;1;2;1;2;2;4; ;900000; ; ;6; ;6;6;1;1;6;6;1;1;1;1;1;6;6;1;6;1;6;1;6;1;2;54,527529294;3;0
14;37;1;2024;0;1;2;2;4;1;5;3;4;5;4;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;800000; ;1;2160000;1;6;1;1;6;1;1;1;1;6;1;6;6;1;6;1;1;6;1;6;4;99,284791324;3;0
14;40;1;2024;0;1;1;4;5;1;5;4;4;5;1;1;1;2;1;2;1;1;1;1;1;1;2;2;1;1; ;1800000; ;6; ;6;6;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;1;1;6;4;93,73668948;3;0
14;54;1;2024;0;1;2;1;3;1;7;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;4;2;1;1; ;3000000; ;6; ;1;6;1;1;6;1;1;1;6;1;1;6;1;1;6;1;1;1;1;6;4;79,116376564;3;0
14;56;1;2024;0;1;2;4;6;1;6;4;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;2000000; ;6; ;1;1;1;1;6;1;1;1;1;6;1;6;6;1;6;1;1;1;1;6;4;85,533189234;3;0
14;57;1;2024;0;1;2;2;4;1;7;4;4;5;1;1;1;2;1;2;1;1;1;1;1;1;2;2;1;1; ;2500000; ;1;950000;6;6;1;1;6;1;1;1;1;1;1;6;6;1;6;1;1;1;6;6;2;63,197242063;3;0
